country name,average urban population ratio,average life expectancy,sum of total population in all years,sum of urban population in all years
Afghanistan,0.23080271507918704,46.72727272727273,330058145,76178316
Albania,0.44855666981969783,75.9090909090909,34517050,15482853
Algeria,0.6331888282745246,71.54545454545455,362300811,229404826
Angola,0.5416312129728275,48.27272727272727,181282239,98188119
Antigua and Barbuda,0.3094878912440032,75.0,920078,284753
Argentina,0.9133874627378199,74.72727272727273,425494428,388641276
Armenia,0.6426281132204897,72.63636363636364,33792258,21715855
Aruba,0.4671216461389886,74.36363636363636,1100709,514165
Australia,0.8820149507816307,80.63636363636364,226155400,199472444
Austria,0.6661780067380485,79.36363636363636,90318435,60168155
Azerbaijan,0.5162139330216625,68.81818181818181,93095025,48056949
Bahamas The,0.8310273659657356,73.54545454545455,3517179,2922872
Bahrain,0.8847318272955658,74.45454545454545,9187419,8128402
Bangladesh,0.2584248476719662,66.9090909090909,1539050260,397728829
Barbados,0.3849136354836628,76.0,2975296,1145232
Belarus,0.7212160816494982,69.27272727272727,107407788,77464224
Belgium,0.9727449916978477,79.18181818181819,115722401,112568386
Belize,0.5038549017934078,74.72727272727273,3233286,1629107
Benin,0.4019536777735054,54.0,84165773,33830742
Bermuda,1.0,78.85714285714286,697937,697937
Bhutan,0.31327238944423674,64.54545454545455,7195690,2254211
Bolivia,0.6425617439309936,64.63636363636364,100468012,64556901
Bosnia and Herzegovina,0.45813966203785117,74.9090909090909,41425645,18978731
Botswana,0.573219170623571,51.0,20680308,11854349
Brazil,0.8406789890269455,71.54545454545455,2039577762,1714630171
Brunei Darussalam,0.7353648692767911,77.18181818181819,3994088,2937112
Bulgaria,0.702348428437734,72.72727272727273,85505139,60054400
Burkina Faso,0.18520424211960523,52.36363636363637,156993499,29075862
Burundi,0.09658602524222848,47.81818181818182,80339024,7759627
Cambodia,0.19855360085120297,60.0,146646104,29117112
Cameroon,0.5440752602257554,49.90909090909091,193459425,105256487
Canada,0.8008393065143877,80.27272727272727,355877376,285000591
Cape Verde,0.5741387682547442,72.0,5171053,2968902
Central African Republic,0.38204241150598517,45.0,44363763,16948839
Chad,0.255389998821742,48.27272727272727,107260042,27393142
Channel Islands,0.30841440622932526,78.81818181818181,1639985,505795
Chile,0.8755038715246941,78.18181818181819,179168688,156862880
China,0.4042487362883402,72.18181818181819,14325855000,5791208780
Colombia,0.736455705024291,72.27272727272727,473426617,348657733
Comoros,0.28039286293921933,59.18181818181818,7098048,1990242
Congo Dem Rep,0.324730525999228,47.0,632886195,205517467
Congo Rep,0.6029707264214569,55.27272727272727,39162004,23613542
Costa Rica,0.6176345089275298,78.54545454545455,47317008,29224617
Cote dIvoire,0.46912831913047515,51.90909090909091,198911019,93314792
Croatia,0.5660851918661857,75.36363636363636,48784000,27615900
Cuba,0.7562737304953344,77.72727272727273,123438479,93353279
Cyprus,0.6940829120988491,78.54545454545455,11313572,7852557
