country name,average urban population ratio,average life expectancy,sum of total population in all years,sum of urban population in all years
Afghanistan,0.230802715079,46.7272727273,330058145.0,76178316.0
Albania,0.44855666982,75.9090909091,34517050.0,15482853.0
Algeria,0.633188828275,71.5454545455,362300811.0,229404826.0
Angola,0.541631212973,48.2727272727,181282239.0,98188119.0
Antigua and Barbuda,0.309487891244,75.0,920078.0,284753.0
Argentina,0.913387462738,74.7272727273,425494428.0,388641276.0
Armenia,0.64262811322,72.6363636364,33792258.0,21715855.0
Aruba,0.467121646139,74.3636363636,1100709.0,514165.0
Australia,0.882014950782,80.6363636364,226155400.0,199472444.0
Austria,0.666178006738,79.3636363636,90318435.0,60168155.0
Azerbaijan,0.516213933022,68.8181818182,93095025.0,48056949.0
"Bahamas, The",0.831027365966,73.5454545455,3517179.0,2922872.0
Bahrain,0.884731827296,74.4545454545,9187419.0,8128402.0
Bangladesh,0.258424847672,66.9090909091,1539050260.0,397728829.0
Barbados,0.384913635484,76.0,2975296.0,1145232.0
Belarus,0.721216081649,69.2727272727,107407788.0,77464224.0
Belgium,0.972744991698,79.1818181818,115722401.0,112568386.0
Belize,0.503854901793,74.7272727273,3233286.0,1629107.0
Benin,0.401953677774,54.0,84165773.0,33830742.0
Bermuda,1.0,78.8571428571,697937.0,697937.0
Bhutan,0.313272389444,64.5454545455,7195690.0,2254211.0
Bolivia,0.642561743931,64.6363636364,100468012.0,64556901.0
Bosnia and Herzegovina,0.458139662038,74.9090909091,41425645.0,18978731.0
Botswana,0.573219170624,51.0,20680308.0,11854349.0
Brazil,0.840678989027,71.5454545455,2039577762.0,1714630171.0
Brunei Darussalam,0.735364869277,77.1818181818,3994088.0,2937112.0
Bulgaria,0.702348428438,72.7272727273,85505139.0,60054400.0
Burkina Faso,0.18520424212,52.3636363636,156993499.0,29075862.0
Burundi,0.0965860252422,47.8181818182,80339024.0,7759627.0
Cambodia,0.198553600851,60.0,146646104.0,29117112.0
Cameroon,0.544075260226,49.9090909091,193459425.0,105256487.0
Canada,0.800839306514,80.2727272727,355877376.0,285000591.0
Cape Verde,0.574138768255,72.0,5171053.0,2968902.0
Central African Republic,0.382042411506,45.0,44363763.0,16948839.0
Chad,0.255389998822,48.2727272727,107260042.0,27393142.0
Channel Islands,0.308414406229,78.8181818182,1639985.0,505795.0
Chile,0.875503871525,78.1818181818,179168688.0,156862880.0
China,0.404248736288,72.1818181818,14325855000.0,5791208780.0
Colombia,0.736455705024,72.2727272727,473426617.0,348657733.0
Comoros,0.280392862939,59.1818181818,7098048.0,1990242.0
"Congo, Dem. Rep.",0.324730525999,47.0,632886195.0,205517467.0
"Congo, Rep.",0.602970726421,55.2727272727,39162004.0,23613542.0
Costa Rica,0.617634508928,78.5454545455,47317008.0,29224617.0
